family,scientific_name,common_name,lifestyle,mr_sample_size,mr_mass_grams,mr_temp_celcius,whole_organism_mr_watts,amat,amax,repro_output,rmax,m_rtype,trophic_position,tro_standard_error
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27
